id,main_id,other_model,self_model,price,image_url,stock,local_image_path
13,3,白面银壳黑带,QW492-5,7.8,https://cbu01.alicdn.com/img/ibank/O1CN01HA8qeR1nP9CPLi239_!!2201286885081-0-cib.jpg,12983,static\images\O1CN01HA8qeR1nP9CPLi239_!!2201286885081-0-cib.jpg
14,3,白面玫金壳棕带,QW492-6,7.8,https://cbu01.alicdn.com/img/ibank/O1CN01VJ2ZfV1nP9CNSmvFZ_!!2201286885081-0-cib.jpg,14050,static\images\O1CN01VJ2ZfV1nP9CNSmvFZ_!!2201286885081-0-cib.jpg
15,4,8113金色钢带版,SW8113-2,32.9,https://cbu01.alicdn.com/img/ibank/12268255377_629701207.jpg,803,static\images\12268255377_629701207.jpg
16,4,8113玫金色钢带版,SW8113-3,32.9,https://cbu01.alicdn.com/img/ibank/12237957618_629701207.jpg,963,static\images\12237957618_629701207.jpg
17,4,8113黑色钢带版,SW8113-4,32.9,https://cbu01.alicdn.com/img/ibank/12237978173_629701207.jpg,805,static\images\12237978173_629701207.jpg
18,4,8113银色钢带版,SW8113-1,29.9,https://cbu01.alicdn.com/img/ibank/12310529506_629701207.jpg,515,static\images\12310529506_629701207.jpg
19,5,9619黑色,SW9619-1,21.9,https://cbu01.alicdn.com/img/ibank/12953504450_629701207.jpg,1903,static\images\12953504450_629701207.jpg
20,5,9619灰色,SW9619-2 ,21.9,https://cbu01.alicdn.com/img/ibank/12913126905_629701207.jpg,950,static\images\12913126905_629701207.jpg
21,5,9619白色,SW9619-3,21.9,https://cbu01.alicdn.com/img/ibank/12913156290_629701207.jpg,631,static\images\12913156290_629701207.jpg
22,5,9619红色,SW9619-4,21.9,https://cbu01.alicdn.com/img/ibank/12913129968_629701207.jpg,823,static\images\12913129968_629701207.jpg
23,5,9619蓝色,SW9619-5,21.9,https://cbu01.alicdn.com/img/ibank/12953501930_629701207.jpg,840,static\images\12953501930_629701207.jpg
24,5,9619军绿色,SW9619-6,21.9,https://cbu01.alicdn.com/img/ibank/O1CN01THdmSQ1Nj8cwmNkzV_!!949881605-0-cib.jpg,812,static\images\O1CN01THdmSQ1Nj8cwmNkzV_!!949881605-0-cib.jpg
25,6,钛金色,SW9915-1,29.9,https://cbu01.alicdn.com/img/ibank/O1CN011azt391Nj8cpak5FE_!!949881605-0-cib.jpg,1749,static\images\O1CN011azt391Nj8cpak5FE_!!949881605-0-cib.jpg
26,6,黑色,SW9915-2,29.9,https://cbu01.alicdn.com/img/ibank/O1CN014lR1mC1Nj8gBCDc3i_!!949881605-0-cib.jpg,1655,static\images\O1CN014lR1mC1Nj8gBCDc3i_!!949881605-0-cib.jpg
27,7,9648-B黑色（50M游泳防水）,SW9648-B-1,19.9,https://cbu01.alicdn.com/img/ibank/O1CN01DkBuxr1Nj8TRmx0MK_!!949881605-0-cib.jpg,745,static\images\O1CN01DkBuxr1Nj8TRmx0MK_!!949881605-0-cib.jpg
28,7,9648-B军绿（50M游泳防水）,SW9648-B-2,19.9,https://cbu01.alicdn.com/img/ibank/O1CN01R3cjHu1Nj8TKlgMTS_!!949881605-0-cib.jpg,1370,static\images\O1CN01R3cjHu1Nj8TKlgMTS_!!949881605-0-cib.jpg
29,8,黑色,QW1388,3.8,https://cbu01.alicdn.com/img/ibank/O1CN01KpCaDo1nP9PXJmouF_!!2201286885081-0-cib.jpg,6672,static\images\O1CN01KpCaDo1nP9PXJmouF_!!2201286885081-0-cib.jpg
30,9,金色,DWM1125-1,6.0,https://cbu01.alicdn.com/img/ibank/O1CN017xDs111nP99omKeJy_!!2201286885081-0-cib.jpg,28900,static\images\O1CN017xDs111nP99omKeJy_!!2201286885081-0-cib.jpg
31,9,玫瑰金,DWM1125-2,6.0,https://cbu01.alicdn.com/img/ibank/O1CN01joSPun1nP99tesrxw_!!2201286885081-0-cib.jpg,25290,static\images\O1CN01joSPun1nP99tesrxw_!!2201286885081-0-cib.jpg
32,9,银色,DWM1125-3,6.0,https://cbu01.alicdn.com/img/ibank/O1CN016ze7FN1nP9A5OZhWE_!!2201286885081-0-cib.jpg,15265,static\images\O1CN016ze7FN1nP9A5OZhWE_!!2201286885081-0-cib.jpg
33,10,绿色,DWM1329-1,6.0,https://cbu01.alicdn.com/img/ibank/O1CN01PsiXv91nP9Hmuyxo9_!!2201286885081-0-cib.jpg,75768,static\images\O1CN01PsiXv91nP9Hmuyxo9_!!2201286885081-0-cib.jpg
34,10,粉色,DWM1329-2,6.0,https://cbu01.alicdn.com/img/ibank/O1CN01IQBcpv1nP9HcwozMn_!!2201286885081-0-cib.jpg,32881,static\images\O1CN01IQBcpv1nP9HcwozMn_!!2201286885081-0-cib.jpg
35,10,紫色,DWM1329-3,6.0,https://cbu01.alicdn.com/img/ibank/O1CN01rFujlu1nP9Hi3iWw5_!!2201286885081-0-cib.jpg,36623,static\images\O1CN01rFujlu1nP9Hi3iWw5_!!2201286885081-0-cib.jpg
36,10,红色,DWM1329-4,6.0,https://cbu01.alicdn.com/img/ibank/O1CN01QorDQ91nP9HjEcV1V_!!2201286885081-0-cib.jpg,35309,static\images\O1CN01QorDQ91nP9HjEcV1V_!!2201286885081-0-cib.jpg
37,10,白色,DWM1329-5,6.0,https://cbu01.alicdn.com/img/ibank/O1CN01nu9wUQ1nP9Hg1lj1H_!!2201286885081-0-cib.jpg,33054,static\images\O1CN01nu9wUQ1nP9Hg1lj1H_!!2201286885081-0-cib.jpg
38,10,黑色,DWM1329-6,6.0,https://cbu01.alicdn.com/img/ibank/O1CN012sz9Sg1nP9MeeihE5_!!2201286885081-0-cib.jpg,28394,static\images\O1CN012sz9Sg1nP9MeeihE5_!!2201286885081-0-cib.jpg
39,10,蓝色,DWM1329-7,6.0,https://cbu01.alicdn.com/img/ibank/O1CN018MqY7x1nP9OgFzCzN_!!2201286885081-0-cib.jpg,38073,static\images\O1CN018MqY7x1nP9OgFzCzN_!!2201286885081-0-cib.jpg
40,11,1号-金色-满钻十字架手链（加厚真金电镀）,SLN25001,10.9,https://cbu01.alicdn.com/img/ibank/O1CN01ZiZOT11IhF0gYS3rh_!!2643320924-0-cib.jpg,6066,static\images\O1CN01ZiZOT11IhF0gYS3rh_!!2643320924-0-cib.jpg
41,11,2号-金色-镶钻星星手链（加厚真金电镀）,SLN25002,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01yvMUYW1IhF0fQss0f_!!2643320924-0-cib.jpg,9945,static\images\O1CN01yvMUYW1IhF0fQss0f_!!2643320924-0-cib.jpg
42,11,3号-金色-镶钻十字架手链（加厚真金电镀）,SLN25003,11.2,https://cbu01.alicdn.com/img/ibank/O1CN01kuB1Uc1IhF0dWo1zR_!!2643320924-0-cib.jpg,9954,static\images\O1CN01kuB1Uc1IhF0dWo1zR_!!2643320924-0-cib.jpg
43,11,4号-金色-满钻芒星手链（加厚真金电镀）,SLN25004,13.9,https://cbu01.alicdn.com/img/ibank/O1CN016R63vl1IhF0fKRelM_!!2643320924-0-cib.jpg,9948,static\images\O1CN016R63vl1IhF0fKRelM_!!2643320924-0-cib.jpg
44,11,5号-金色镂空花手链（加厚真金电镀）,SLN25005,9.9,https://cbu01.alicdn.com/img/ibank/O1CN018m19jm1IhEw755wXw_!!2643320924-0-cib.jpg,9560,static\images\O1CN018m19jm1IhEw755wXw_!!2643320924-0-cib.jpg
45,11,7号-金色锆石猫眼石花瓣手链（加厚真金电镀）,SLN25006,12.6,https://cbu01.alicdn.com/img/ibank/O1CN011LlYGm1IhEw5tRaMe_!!2643320924-0-cib.jpg,9427,static\images\O1CN011LlYGm1IhEw5tRaMe_!!2643320924-0-cib.jpg
46,11,8号-金色锆石猫眼石爱心手链（加厚真金电镀）,SLN25007,16.2,https://cbu01.alicdn.com/img/ibank/O1CN01FEcs9y1IhF0egVDvq_!!2643320924-0-cib.jpg,9676,static\images\O1CN01FEcs9y1IhF0egVDvq_!!2643320924-0-cib.jpg
47,11,9号-金色贝壳星星手链抽拉式（加厚真金电镀）,SLN25008,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01o5uESf1IhEvwtAKpv_!!2643320924-0-cib.jpg,9694,
48,11,10号-金色锆石猫眼石花朵抽拉式手链（加厚真金电镀）,SLN25009,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01iWywcc1IhEw7ggr0r_!!2643320924-0-cib.jpg,9489,static\images\O1CN01iWywcc1IhEw7ggr0r_!!2643320924-0-cib.jpg
49,11,11号-金色猫眼石花朵抽拉手链（加厚真金电镀）,SLN250010,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01QHI3Jh1IhEw422aJe_!!2643320924-0-cib.jpg,9635,
50,11,12号-金色-锆石蝴蝶手链（加厚真金电镀）,SLN250011,12.6,https://cbu01.alicdn.com/img/ibank/O1CN013S4oRQ1IhF0eQvUGm_!!2643320924-0-cib.jpg,9901,static\images\O1CN013S4oRQ1IhF0eQvUGm_!!2643320924-0-cib.jpg
51,11,13号-白色四叶花手链（加厚真金保色）,13号-白色四叶花手链（加厚真金保色）,14.6,https://cbu01.alicdn.com/img/ibank/O1CN014z6tk01IhEw1TIs1A_!!2643320924-0-cib.jpg,9540,static\images\O1CN014z6tk01IhEw1TIs1A_!!2643320924-0-cib.jpg
52,11,14号-金色锆石镂空花朵相扣手链（加厚真金电镀）,14号-金色锆石镂空花朵相扣手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01lhppB01IhEw7hba2o_!!2643320924-0-cib.jpg,9754,static\images\O1CN01lhppB01IhEw7hba2o_!!2643320924-0-cib.jpg
53,11,15号-镶钻蓝色星月手链（加厚真金电镀）,15号-镶钻蓝色星月手链（加厚真金电镀）,14.9,https://cbu01.alicdn.com/img/ibank/O1CN01mH67pq1IhEyESkHGe_!!2643320924-0-cib.jpg,9858,static\images\O1CN01mH67pq1IhEyESkHGe_!!2643320924-0-cib.jpg
54,11,17号-银色-抽拉锆石四叶花手链（加厚真金电镀）,17号-银色-抽拉锆石四叶花手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01XgPYGv1IhEyGp6BYA_!!2643320924-0-cib.jpg,9884,static\images\O1CN01XgPYGv1IhEyGp6BYA_!!2643320924-0-cib.jpg
55,11,18号-金色-满钻四叶花手链（加厚真金电镀）,18号-金色-满钻四叶花手链（加厚真金电镀）,16.9,https://cbu01.alicdn.com/img/ibank/O1CN01z7iKa21IhF0gvsRTb_!!2643320924-0-cib.jpg,9921,static\images\O1CN01z7iKa21IhF0gvsRTb_!!2643320924-0-cib.jpg
56,11,20号-金色锆石花朵手链（加厚真金电镀）,20号-金色锆石花朵手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01QoAIPB1IhEw8GsHrI_!!2643320924-0-cib.jpg,9823,
57,11,22号-锆石花朵圆环珍珠手链（加厚真金电镀）,22号-锆石花朵圆环珍珠手链（加厚真金电镀）,10.9,https://cbu01.alicdn.com/img/ibank/O1CN01hUzkva1IhEw5vkNbO_!!2643320924-0-cib.jpg,9857,static\images\O1CN01hUzkva1IhEw5vkNbO_!!2643320924-0-cib.jpg
58,11,23号-金色星月贝壳猫眼石抽拉式手链（加厚真金电镀）,23号-金色星月贝壳猫眼石抽拉式手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01CfqupM1IhEw7hvFdy_!!2643320924-0-cib.jpg,9700,static\images\O1CN01CfqupM1IhEw7hvFdy_!!2643320924-0-cib.jpg
59,11,24号-金色锆石猫眼石花朵手链（加厚真金电镀）,24号-金色锆石猫眼石花朵手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01IXeWRE1IhEvwut9CG_!!2643320924-0-cib.jpg,9721,static\images\O1CN01IXeWRE1IhEvwut9CG_!!2643320924-0-cib.jpg
60,11,25号-金色锆石星月抽拉式手链（加厚真金电镀）,25号-金色锆石星月抽拉式手链（加厚真金电镀）,8.9,https://cbu01.alicdn.com/img/ibank/O1CN01zx5abc1IhEw2IY8wa_!!2643320924-0-cib.jpg,9789,static\images\O1CN01zx5abc1IhEw2IY8wa_!!2643320924-0-cib.jpg
61,11,26号-金色锆石猫眼石蝴蝶珍珠拼接手链（加厚真金电镀）,26号-金色锆石猫眼石蝴蝶珍珠拼接手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01LGRnR01IhEw7iBhME_!!2643320924-0-cib.jpg,9687,static\images\O1CN01LGRnR01IhEw7iBhME_!!2643320924-0-cib.jpg
62,11,27号-金色微镶猫眼石圆形可调节手链（加厚真金电镀）,27号-金色微镶猫眼石圆形可调节手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01Ge2gxP1IhEw7iCAVZ_!!2643320924-0-cib.jpg,9558,static\images\O1CN01Ge2gxP1IhEw7iCAVZ_!!2643320924-0-cib.jpg
63,11,28号-金色满锆五瓣花可调节手链（加厚真金电镀）,28号-金色满锆五瓣花可调节手链（加厚真金电镀）,13.6,https://cbu01.alicdn.com/img/ibank/O1CN01gpoD3B1IhEw5WgHe4_!!2643320924-0-cib.jpg,9831,static\images\O1CN01gpoD3B1IhEw5WgHe4_!!2643320924-0-cib.jpg
64,11,30号-金色-锆石四叶花手链（加厚真金电镀）,30号-金色-锆石四叶花手链（加厚真金电镀）,15.9,https://cbu01.alicdn.com/img/ibank/O1CN01op8Lgn1IhEyJ5WX6Y_!!2643320924-0-cib.jpg,9469,static\images\O1CN01op8Lgn1IhEyJ5WX6Y_!!2643320924-0-cib.jpg
65,11,32号-银色-锆石四叶花手链（加厚真金电镀）,32号-银色-锆石四叶花手链（加厚真金电镀）,15.9,https://cbu01.alicdn.com/img/ibank/O1CN01V0mNC61IhEy99wRiE_!!2643320924-0-cib.jpg,9730,static\images\O1CN01V0mNC61IhEy99wRiE_!!2643320924-0-cib.jpg
66,11,34号-金色贝壳月亮可调节抽拉手链（加厚真金电镀）,34号-金色贝壳月亮可调节抽拉手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01LaoAVW1IhEw4kEU4B_!!2643320924-0-cib.jpg,9805,static\images\O1CN01LaoAVW1IhEw4kEU4B_!!2643320924-0-cib.jpg
67,11,35号-金色爱心链条手链（加厚真金电镀）,35号-金色爱心链条手链（加厚真金电镀）,11.6,https://cbu01.alicdn.com/img/ibank/O1CN01LiduGN1IhEw5wIcGU_!!2643320924-0-cib.jpg,9840,static\images\O1CN01LiduGN1IhEw5wIcGU_!!2643320924-0-cib.jpg
68,11,36号-金色锆石四叶花可调节手链（加厚真金电镀）,36号-金色锆石四叶花可调节手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01gIJqbn1IhEw62P7ld_!!2643320924-0-cib.jpg,9771,
69,11,37号-金色锆石贝壳枫叶手链（加厚真金电镀）,37号-金色锆石贝壳枫叶手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN010Uk1pr1IhEw4kJvAH_!!2643320924-0-cib.jpg,9771,
70,11,38号-锆石爱心手链（加厚真金电镀）,38号-锆石爱心手链（加厚真金电镀）,12.2,https://cbu01.alicdn.com/img/ibank/O1CN01toXjVC1IhEw4TOawM_!!2643320924-0-cib.jpg,9855,static\images\O1CN01toXjVC1IhEw4TOawM_!!2643320924-0-cib.jpg
71,11,39号-锆石星月造型手饰（加厚真金电镀）,39号-锆石星月造型手饰（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN013XAM7I1IhEw4pKgId_!!2643320924-0-cib.jpg,9824,static\images\O1CN013XAM7I1IhEw4pKgId_!!2643320924-0-cib.jpg
72,11,40号-金色锆石蝴蝶手链（加厚真金电镀）,40号-金色锆石蝴蝶手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01ft1AVN1IhEw443aTv_!!2643320924-0-cib.jpg,9593,static\images\O1CN01ft1AVN1IhEw443aTv_!!2643320924-0-cib.jpg
73,11,41号-金色锆石贝壳四叶花手链（加厚真金电镀）,41号-金色锆石贝壳四叶花手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01jtdbBV1IhEw443O66_!!2643320924-0-cib.jpg,9809,static\images\O1CN01jtdbBV1IhEw443O66_!!2643320924-0-cib.jpg
74,11,42号-金色锆石缠绕珍珠手链（加厚真金电镀）,42号-金色锆石缠绕珍珠手链（加厚真金电镀）,12.6,https://cbu01.alicdn.com/img/ibank/O1CN01m49CiF1IhEw2dAWGu_!!2643320924-0-cib.jpg,9712,static\images\O1CN01m49CiF1IhEw2dAWGu_!!2643320924-0-cib.jpg
75,11,43号-金色锆石爱心可调节手链（加厚真金电镀）,43号-金色锆石爱心可调节手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01II9yuu1IhEw62n1hn_!!2643320924-0-cib.jpg,9717,static\images\O1CN01II9yuu1IhEw62n1hn_!!2643320924-0-cib.jpg
76,11,44号-金色-锆石金属桃心手链（加厚真金电镀）,44号-金色-锆石金属桃心手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01tqqMJE1IhEyG9n4am_!!2643320924-0-cib.jpg,9930,static\images\O1CN01tqqMJE1IhEyG9n4am_!!2643320924-0-cib.jpg
77,11,45号-金色锆石光芒星手链（加厚真金电镀）,45号-金色锆石光芒星手链（加厚真金电镀）,12.6,https://cbu01.alicdn.com/img/ibank/O1CN01mQuXe71IhEw74oxUX_!!2643320924-0-cib.jpg,9839,static\images\O1CN01mQuXe71IhEw74oxUX_!!2643320924-0-cib.jpg
78,11,46号-金色锆石旋转四叶花可调节手链（加厚真金电镀）,46号-金色锆石旋转四叶花可调节手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN019Hfs1k1IhEw74tBWy_!!2643320924-0-cib.jpg,9655,static\images\O1CN019Hfs1k1IhEw74tBWy_!!2643320924-0-cib.jpg
79,11,47号-金色镶钻猫眼石花瓣花朵手饰（加厚真金电镀）,47号-金色镶钻猫眼石花瓣花朵手饰（加厚真金电镀）,14.6,https://cbu01.alicdn.com/img/ibank/O1CN0169fxbL1IhEw62rnHu_!!2643320924-0-cib.jpg,9745,static\images\O1CN0169fxbL1IhEw62rnHu_!!2643320924-0-cib.jpg
80,11,48号-贝壳圆环星星手链（加厚真金保色）,48号-贝壳圆环星星手链（加厚真金保色）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01jH5gAc1IhEvwvuvXx_!!2643320924-0-cib.jpg,9766,static\images\O1CN01jH5gAc1IhEvwvuvXx_!!2643320924-0-cib.jpg
81,11,49号-银色-锆石金属桃心手链（加厚真金电镀）,49号-银色-锆石金属桃心手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN014wfQzT1IhEyGpUULf_!!2643320924-0-cib.jpg,9912,static\images\O1CN014wfQzT1IhEyGpUULf_!!2643320924-0-cib.jpg
82,11,50号-金色锆石四叶花手链（加厚真金电镀）,50号-金色锆石四叶花手链（加厚真金电镀）,14.6,https://cbu01.alicdn.com/img/ibank/O1CN01FwznAr1IhEw62wxlg_!!2643320924-0-cib.jpg,9813,static\images\O1CN01FwznAr1IhEw62wxlg_!!2643320924-0-cib.jpg
83,11,52号-黑色四叶花手链（加厚真金保色）,52号-黑色四叶花手链（加厚真金保色）,14.6,https://cbu01.alicdn.com/img/ibank/O1CN01IqL40Z1IhEw4oNjkl_!!2643320924-0-cib.jpg,9758,static\images\O1CN01IqL40Z1IhEw4oNjkl_!!2643320924-0-cib.jpg
84,11,53号-金色贝壳四叶花抽拉式手链（加厚真金电镀）,53号-金色贝壳四叶花抽拉式手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01jNrLwL1IhEw4ndcQU_!!2643320924-0-cib.jpg,9778,static\images\O1CN01jNrLwL1IhEw4ndcQU_!!2643320924-0-cib.jpg
85,11,55号-金色锆石蝴蝶结抽拉式手链（加厚真金电镀）,55号-金色锆石蝴蝶结抽拉式手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01YLpCdA1IhEw5Xlx2A_!!2643320924-0-cib.jpg,9728,static\images\O1CN01YLpCdA1IhEw5Xlx2A_!!2643320924-0-cib.jpg
86,11,57号-锆石星月抽拉式手链（加厚真金电镀）,57号-锆石星月抽拉式手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01KpLy671IhEw2defAe_!!2643320924-0-cib.jpg,9787,static\images\O1CN01KpLy671IhEw2defAe_!!2643320924-0-cib.jpg
87,11,58号-星球月亮猫眼石手链（加厚真金电镀）,58号-星球月亮猫眼石手链（加厚真金电镀）,13.6,https://cbu01.alicdn.com/img/ibank/O1CN01WHC0W01IhEvwwGg0Y_!!2643320924-0-cib.jpg,9905,static\images\O1CN01WHC0W01IhEvwwGg0Y_!!2643320924-0-cib.jpg
88,11,59号-金色锆石双蝴蝶抽拉式手链（加厚真金电镀）,59号-金色锆石双蝴蝶抽拉式手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01Za8rN91IhEw4lADjv_!!2643320924-0-cib.jpg,9799,static\images\O1CN01Za8rN91IhEw4lADjv_!!2643320924-0-cib.jpg
89,11,62号-满锆花朵抽拉式手链（加厚真金电镀）,62号-满锆花朵抽拉式手链（加厚真金电镀）,14.9,https://cbu01.alicdn.com/img/ibank/O1CN01sZ50qi1IhEw5YQR1N_!!2643320924-0-cib.jpg,9668,
90,11,63号-蝴蝶锆石抽拉式手链（加厚真金电镀）,63号-蝴蝶锆石抽拉式手链（加厚真金电镀）,12.6,https://cbu01.alicdn.com/img/ibank/O1CN012FQ0p61IhEw4qmAiN_!!2643320924-0-cib.jpg,9406,static\images\O1CN012FQ0p61IhEw4qmAiN_!!2643320924-0-cib.jpg
91,11,64号-金色三朵锆石花朵手链（加厚真金电镀）,64号-金色三朵锆石花朵手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN011RynKi1IhEw1VsRxi_!!2643320924-0-cib.jpg,9703,static\images\O1CN011RynKi1IhEw1VsRxi_!!2643320924-0-cib.jpg
92,11,65号-微镶四叶花手链（加厚真金电镀）,65号-微镶四叶花手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01Bk7f6q1IhEw2Kdyo0_!!2643320924-0-cib.jpg,9811,static\images\O1CN01Bk7f6q1IhEw2Kdyo0_!!2643320924-0-cib.jpg
93,11,66号-花朵吊蝴蝶手链（加厚真金电镀）,66号-花朵吊蝴蝶手链（加厚真金电镀）,11.9,https://cbu01.alicdn.com/img/ibank/O1CN01kWb8Rq1IhEw42RUp2_!!2643320924-0-cib.jpg,9885,static\images\O1CN01kWb8Rq1IhEw42RUp2_!!2643320924-0-cib.jpg
94,11,68号-金色微镶锆石花朵抽拉式手链（加厚真金电镀）,68号-金色微镶锆石花朵抽拉式手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01eW3L061IhEw2Kk1ON_!!2643320924-0-cib.jpg,9845,
95,11,69号-金色马蹄扣手链（加厚真金电镀）,69号-金色马蹄扣手链（加厚真金电镀）,12.6,https://cbu01.alicdn.com/img/ibank/O1CN01Lc5GbH1IhEw4m0S4A_!!2643320924-0-cib.jpg,9716,static\images\O1CN01Lc5GbH1IhEw4m0S4A_!!2643320924-0-cib.jpg
96,11,70号-金色猫眼石竹节手链（加厚真金电镀）,70号-金色猫眼石竹节手链（加厚真金电镀）,12.9,https://cbu01.alicdn.com/img/ibank/O1CN01fzEKxb1IhEw8JC1QA_!!2643320924-0-cib.jpg,9771,
97,11,71号-金色几何锆石手链（加厚真金电镀）,71号-金色几何锆石手链（加厚真金电镀）,13.6,https://cbu01.alicdn.com/img/ibank/O1CN01yHXeeX1IhEw4V7k6C_!!2643320924-0-cib.jpg,9816,static\images\O1CN01yHXeeX1IhEw4V7k6C_!!2643320924-0-cib.jpg
98,11,73号-金色圆弧锆石手链（加厚真金电镀）,73号-金色圆弧锆石手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01EnRBhE1IhEw6tKj6n_!!2643320924-0-cib.jpg,9863,static\images\O1CN01EnRBhE1IhEw6tKj6n_!!2643320924-0-cib.jpg
99,11,74号-金色锆石贝壳花瓣抽拉手链（加厚真金电镀）,74号-金色锆石贝壳花瓣抽拉手链（加厚真金电镀）,13.9,https://cbu01.alicdn.com/img/ibank/O1CN01S4sIlD1IhEw5vCCul_!!2643320924-0-cib.jpg,9775,static\images\O1CN01S4sIlD1IhEw5vCCul_!!2643320924-0-cib.jpg
